Pipe_Size_mm,Thickness_mm,Material,Grade,Max_Pressure_psi,Temperature_C,Corrosion_Impact_Percent,Thickness_Loss_mm,Material_Loss_Percent,Time_Years,Condition,Remaining_Thickness_mm,Loss_Per_Year_mm,Estimated_Longevity_Years,cost
600,10.56,HDPE,API 5L X52,150,58.6,0.2,6.37,60.32,13,Critical,4.19,0.49,8.551020408163266,4760
500,24.81,PVC,ASTM A333 Grade 6,300,8.8,5.78,0.87,3.51,19,Normal,23.939999999999998,0.045789473684210526,522.8275862068965,3411
800,19.87,Stainless Steel,ASTM A106 Grade B,600,20.3,7.6,4.65,23.4,7,Moderate,15.22,0.6642857142857144,22.911827956989246,2428
1000,31.7,Carbon Steel,API 5L X52,600,38.8,0.09,4.1,12.93,11,Moderate,27.6,0.3727272727272727,74.04878048780489,3962
300,14.23,HDPE,ASTM A106 Grade B,900,77.8,16.27,1.51,10.61,14,Normal,12.72,0.10785714285714286,117.93377483443709,3221
600,28.35,Stainless Steel,ASTM A106 Grade B,150,37.4,14.36,9.06,31.96,2,Critical,19.29,4.53,4.258278145695364,2201
1000,33.18,PVC,API 5L X52,2500,51.3,9.27,3.64,10.97,25,Moderate,29.54,0.1456,202.88461538461536,4569
400,13.52,HDPE,API 5L X65,900,87.1,4.63,0.36,2.66,5,Normal,13.16,0.072,182.7777777777778,2035
300,17.13,PVC,API 5L X65,150,77.4,5.6,6.28,36.66,9,Critical,10.849999999999998,0.6977777777777778,15.549363057324836,2632
100,4.43,Fiberglass,API 5L X42,150,-38.9,17.62,5.55,125.28,5,Critical,-1.12,1.1099999999999999,-1.0090090090090091,4765
500,22.0,Fiberglass,API 5L X65,900,28.7,10.3,0.18,0.82,16,Normal,21.82,0.01125,1939.5555555555557,4010
50,4.71,Fiberglass,ASTM A106 Grade B,300,29.2,2.9,9.97,211.68,13,Critical,-5.260000000000001,0.7669230769230769,-6.858575727181545,4253
50,5.89,Carbon Steel,ASTM A333 Grade 6,1500,-12.3,12.98,4.68,79.46,21,Moderate,1.21,0.22285714285714284,5.42948717948718,3329
150,6.26,PVC,ASTM A333 Grade 6,150,61.2,4.65,5.72,91.37,23,Critical,0.54,0.24869565217391304,2.1713286713286717,2213
300,8.07,Fiberglass,API 5L X52,600,-19.0,4.41,3.18,39.41,6,Moderate,4.890000000000001,0.53,9.226415094339623,4980
300,16.31,Carbon Steel,ASTM A333 Grade 6,2500,-37.4,4.32,5.54,33.97,25,Critical,10.77,0.2216,48.601083032490976,4355
300,14.96,Carbon Steel,API 5L X52,2500,27.6,14.19,0.63,4.21,2,Normal,14.33,0.315,45.492063492063494,4150
300,9.27,HDPE,ASTM A333 Grade 6,1500,30.6,16.91,0.33,3.56,12,Normal,8.94,0.0275,325.09090909090907,2043
500,14.33,HDPE,ASTM A333 Grade 6,300,39.9,10.63,0.23,1.61,9,Normal,14.1,0.025555555555555557,551.7391304347825,4137
250,6.79,Stainless Steel,ASTM A106 Grade B,1500,79.5,3.85,3.79,55.82,22,Moderate,3.0,0.17227272727272727,17.41424802110818,2826
50,4.96,HDPE,API 5L X42,2500,35.6,13.87,7.04,141.94,2,Critical,-2.08,3.52,-0.5909090909090909,4862
250,12.43,Fiberglass,ASTM A333 Grade 6,1500,-31.1,4.23,2.92,23.49,14,Moderate,9.51,0.20857142857142857,45.5958904109589,2932
500,13.73,Fiberglass,ASTM A106 Grade B,2500,72.9,13.47,8.6,62.64,9,Critical,5.130000000000001,0.9555555555555555,5.368604651162792,3280
100,4.03,PVC,ASTM A106 Grade B,2500,70.0,3.71,0.59,14.64,8,Normal,3.4400000000000004,0.07375,46.64406779661018,4753
500,24.1,Fiberglass,ASTM A333 Grade 6,900,2.1,18.06,0.47,1.95,22,Normal,23.630000000000003,0.021363636363636362,1106.085106382979,2226
100,7.55,Fiberglass,ASTM A106 Grade B,1500,109.9,7.63,7.12,94.3,10,Critical,0.4299999999999997,0.712,0.6039325842696626,2695
1200,31.11,Carbon Steel,ASTM A333 Grade 6,2500,22.7,15.45,8.01,25.75,10,Critical,23.1,0.8009999999999999,28.83895131086143,4780
400,14.91,Stainless Steel,API 5L X42,2500,0.1,10.44,8.8,59.02,22,Critical,6.109999999999999,0.4,15.274999999999999,3216
1200,27.92,HDPE,ASTM A333 Grade 6,1500,60.3,10.0,8.04,28.8,7,Critical,19.880000000000003,1.1485714285714284,17.30845771144279,3549
1000,20.11,Carbon Steel,ASTM A333 Grade 6,900,53.7,10.5,3.18,15.81,13,Moderate,16.93,0.24461538461538462,69.21069182389937,2220
200,6.69,Carbon Steel,API 5L X42,2500,129.8,9.16,6.56,98.06,7,Critical,0.13000000000000078,0.937142857142857,0.1387195121951228,2508
300,11.47,Fiberglass,ASTM A333 Grade 6,900,137.9,6.96,5.22,45.51,14,Critical,6.250000000000001,0.37285714285714283,16.762452107279696,3707
1500,28.64,Stainless Steel,API 5L X52,2500,-24.8,2.35,2.39,8.34,10,Moderate,26.25,0.23900000000000002,109.83263598326359,2249
800,19.01,PVC,API 5L X65,1500,41.1,8.52,5.25,27.62,17,Critical,13.760000000000002,0.3088235294117647,44.55619047619048,2674
150,5.34,HDPE,API 5L X65,300,7.6,8.19,6.94,129.96,25,Critical,-1.6000000000000005,0.2776,-5.763688760806918,3281
600,23.37,Stainless Steel,ASTM A333 Grade 6,900,68.5,2.53,8.45,36.16,22,Critical,14.920000000000002,0.38409090909090904,38.84497041420119,2722
600,14.07,Carbon Steel,API 5L X42,600,3.7,5.98,6.0,42.64,2,Critical,8.07,3.0,2.69,4663
200,10.46,Carbon Steel,API 5L X65,1500,5.0,7.88,6.02,57.55,3,Critical,4.440000000000001,2.0066666666666664,2.212624584717609,3551
50,4.77,Carbon Steel,ASTM A333 Grade 6,1500,65.9,6.41,8.5,178.2,21,Critical,-3.7300000000000004,0.40476190476190477,-9.21529411764706,2316
1500,32.08,PVC,ASTM A106 Grade B,2500,39.5,9.54,9.73,30.33,13,Critical,22.349999999999998,0.7484615384615385,29.861253854059605,3794
1000,26.09,HDPE,API 5L X42,2500,59.5,14.82,2.64,10.12,23,Moderate,23.45,0.11478260869565218,204.2992424242424,4563
200,8.99,PVC,API 5L X52,300,37.7,19.4,8.47,94.22,11,Critical,0.5199999999999996,0.77,0.6753246753246748,4284
200,10.29,Stainless Steel,API 5L X42,300,127.4,14.07,2.59,25.17,12,Moderate,7.699999999999999,0.21583333333333332,35.67567567567568,4092
1200,31.05,Carbon Steel,ASTM A106 Grade B,1500,32.9,8.93,1.23,3.96,1,Normal,29.82,1.23,24.243902439024392,4472
500,18.1,HDPE,API 5L X52,2500,103.7,17.81,1.45,8.01,13,Normal,16.650000000000002,0.11153846153846153,149.27586206896555,4912
50,4.77,HDPE,ASTM A333 Grade 6,150,13.4,0.28,7.41,155.35,7,Critical,-2.6400000000000006,1.0585714285714285,-2.4939271255060738,2140
1500,42.64,Fiberglass,ASTM A333 Grade 6,300,106.8,12.28,7.63,17.89,16,Critical,35.01,0.476875,73.41546526867627,4749
600,10.33,Stainless Steel,ASTM A106 Grade B,600,74.5,7.45,2.37,22.94,6,Moderate,7.96,0.395,20.151898734177212,2516
300,14.32,Carbon Steel,API 5L X52,600,25.0,18.29,8.2,57.26,5,Critical,6.120000000000001,1.64,3.7317073170731714,4745
800,30.66,HDPE,API 5L X52,600,105.4,12.33,1.45,4.73,10,Normal,29.21,0.145,201.44827586206898,2535
150,6.98,Carbon Steel,API 5L X52,300,51.1,15.43,4.03,57.74,8,Moderate,2.95,0.50375,5.856079404466501,4162
600,12.2,PVC,ASTM A106 Grade B,300,-11.6,15.77,2.18,17.87,19,Moderate,10.02,0.11473684210526316,87.3302752293578,2596
500,23.91,Fiberglass,ASTM A333 Grade 6,300,76.2,12.37,5.67,23.71,12,Critical,18.240000000000002,0.4725,38.60317460317461,4632
1200,32.57,PVC,API 5L X42,300,96.5,12.31,6.7,20.57,19,Critical,25.87,0.3526315789473684,73.36268656716419,3971
1000,24.79,PVC,API 5L X42,600,14.4,0.88,6.86,27.67,2,Critical,17.93,3.43,5.227405247813411,2596
250,10.21,Stainless Steel,ASTM A333 Grade 6,600,32.1,6.22,4.53,44.37,21,Moderate,5.680000000000001,0.21571428571428572,26.33112582781457,3205
800,14.17,Fiberglass,API 5L X65,150,36.0,4.86,3.33,23.5,7,Moderate,10.84,0.4757142857142857,22.786786786786788,3040
800,21.79,PVC,API 5L X52,2500,44.2,14.79,7.24,33.23,5,Critical,14.549999999999999,1.448,10.048342541436464,4875
100,7.29,Stainless Steel,API 5L X52,150,-15.8,3.59,7.32,100.41,7,Critical,-0.03000000000000025,1.0457142857142858,-0.02868852459016417,2458
150,9.03,PVC,API 5L X52,300,19.7,9.65,6.02,66.67,14,Critical,3.01,0.43,7.0,2122
200,9.41,HDPE,ASTM A106 Grade B,150,5.3,12.74,6.06,64.4,24,Critical,3.3500000000000005,0.2525,13.267326732673268,3392
150,9.16,Carbon Steel,API 5L X52,600,7.9,16.16,2.61,28.49,10,Moderate,6.550000000000001,0.261,25.095785440613028,4306
250,6.69,Fiberglass,ASTM A333 Grade 6,1500,-32.5,5.99,9.03,134.98,12,Critical,-2.339999999999999,0.7525,-3.1096345514950157,3431
150,5.88,PVC,API 5L X52,150,14.0,4.28,6.13,104.25,13,Critical,-0.25,0.4715384615384615,-0.5301794453507341,4928
1000,22.09,Carbon Steel,API 5L X42,600,13.1,19.73,9.28,42.01,3,Critical,12.81,3.0933333333333333,4.141163793103448,2599
1200,25.68,HDPE,ASTM A333 Grade 6,600,46.6,17.66,6.07,23.64,13,Critical,19.61,0.46692307692307694,41.998352553542006,3746
50,4.8,Carbon Steel,ASTM A106 Grade B,1500,125.6,18.25,0.92,19.17,18,Normal,3.88,0.051111111111111114,75.91304347826086,3699
500,9.8,PVC,API 5L X65,2500,26.2,10.34,3.2,32.65,14,Moderate,6.6000000000000005,0.2285714285714286,28.875,4818
100,7.07,Stainless Steel,API 5L X65,150,12.5,3.04,5.78,81.75,21,Critical,1.29,0.2752380952380952,4.686851211072665,3595
400,17.39,Fiberglass,API 5L X65,150,-12.8,12.59,7.23,41.58,2,Critical,10.16,3.615,2.8105117565698476,3328
150,7.94,Carbon Steel,API 5L X42,2500,57.2,10.79,4.92,61.96,15,Moderate,3.0200000000000005,0.328,9.207317073170733,4660
250,7.29,Fiberglass,API 5L X52,1500,140.1,16.13,5.7,78.19,16,Critical,1.5899999999999999,0.35625,4.463157894736842,4391
1000,29.55,Fiberglass,ASTM A333 Grade 6,1500,82.5,1.26,0.24,0.81,25,Normal,29.310000000000002,0.0096,3053.1250000000005,4730
1200,35.76,PVC,API 5L X65,2500,-15.3,10.6,2.45,6.85,5,Moderate,33.309999999999995,0.49000000000000005,67.97959183673468,4783
600,26.97,Carbon Steel,ASTM A333 Grade 6,1500,82.0,16.29,1.53,5.67,22,Normal,25.439999999999998,0.06954545454545455,365.8039215686274,4346
400,10.27,PVC,API 5L X65,300,40.1,8.69,6.45,62.8,16,Critical,3.8199999999999994,0.403125,9.47596899224806,4815
200,7.56,Stainless Steel,API 5L X52,2500,79.8,0.0,5.88,77.78,9,Critical,1.6799999999999997,0.6533333333333333,2.571428571428571,3172
150,9.25,Fiberglass,API 5L X65,2500,22.3,2.35,6.26,67.68,18,Critical,2.99,0.34777777777777774,8.59744408945687,2414
800,17.64,Fiberglass,ASTM A333 Grade 6,300,13.5,14.19,6.31,35.77,9,Critical,11.330000000000002,0.701111111111111,16.16006339144216,3904
50,5.21,Stainless Steel,API 5L X65,150,74.0,0.87,5.35,102.69,5,Critical,-0.13999999999999968,1.0699999999999998,-0.1308411214953268,2876
800,28.66,Fiberglass,API 5L X65,1500,149.7,8.48,7.29,25.44,19,Critical,21.37,0.3836842105263158,55.69684499314129,2411
300,10.01,HDPE,ASTM A106 Grade B,1500,-4.9,13.56,2.37,23.68,19,Moderate,7.64,0.12473684210526316,61.24894514767932,4731
400,16.52,Fiberglass,API 5L X52,2500,12.9,16.78,9.54,57.75,12,Critical,6.98,0.7949999999999999,8.779874213836479,2881
1500,31.97,Carbon Steel,API 5L X65,600,59.8,5.15,2.33,7.29,15,Moderate,29.64,0.15533333333333335,190.8154506437768,4624
1500,34.61,HDPE,API 5L X52,300,61.6,1.92,6.26,18.09,19,Critical,28.35,0.3294736842105263,86.04632587859426,2752
1200,20.19,HDPE,API 5L X42,150,32.6,15.86,8.05,39.87,24,Critical,12.14,0.3354166666666667,36.19378881987578,4409
100,7.71,PVC,API 5L X65,2500,24.0,16.28,3.09,40.08,15,Moderate,4.62,0.206,22.42718446601942,4062
400,13.4,Carbon Steel,ASTM A106 Grade B,2500,-15.2,18.13,1.17,8.73,13,Normal,12.23,0.09,135.88888888888889,2095
1500,40.94,Stainless Steel,API 5L X65,2500,-14.8,18.53,2.56,6.25,19,Moderate,38.379999999999995,0.13473684210526315,284.8515625,3249
250,7.48,Stainless Steel,ASTM A106 Grade B,2500,134.3,6.05,0.37,4.95,5,Normal,7.11,0.074,96.0810810810811,2517
200,11.25,Carbon Steel,API 5L X42,600,13.1,2.48,2.04,18.13,12,Moderate,9.21,0.17,54.1764705882353,3822
150,8.6,HDPE,ASTM A333 Grade 6,600,17.9,8.62,6.66,77.44,25,Critical,1.9399999999999995,0.2664,7.28228228228228,2911
500,14.61,Fiberglass,API 5L X42,300,6.6,9.87,5.99,41.0,21,Critical,8.62,0.28523809523809524,30.220367278797994,4436
500,13.76,Fiberglass,ASTM A333 Grade 6,2500,73.2,18.91,5.14,37.35,3,Critical,8.620000000000001,1.7133333333333332,5.0311284046692615,3784
250,6.77,Carbon Steel,ASTM A106 Grade B,2500,69.1,6.58,1.41,20.83,13,Normal,5.359999999999999,0.10846153846153846,49.41843971631205,3276
100,5.12,Stainless Steel,ASTM A106 Grade B,900,53.0,0.64,1.11,21.68,12,Normal,4.01,0.09250000000000001,43.35135135135134,2664
1500,27.3,Fiberglass,API 5L X65,1500,115.2,13.79,0.67,2.45,18,Normal,26.63,0.037222222222222226,715.4328358208954,4295
250,9.59,Fiberglass,ASTM A106 Grade B,150,18.5,17.18,2.35,24.5,6,Moderate,7.24,0.39166666666666666,18.485106382978724,4088
100,6.02,PVC,API 5L X42,1500,50.7,18.36,2.37,39.37,23,Moderate,3.6499999999999995,0.10304347826086957,35.42194092827003,2551
600,14.75,Carbon Steel,ASTM A333 Grade 6,600,2.1,5.36,3.17,21.49,11,Moderate,11.58,0.28818181818181815,40.18296529968455,4058
500,23.95,HDPE,ASTM A333 Grade 6,900,37.7,15.5,2.41,10.06,15,Moderate,21.54,0.16066666666666668,134.06639004149375,4227
800,23.11,Carbon Steel,ASTM A333 Grade 6,900,-2.2,14.62,1.73,7.49,25,Normal,21.38,0.0692,308.9595375722543,2927
250,12.68,Fiberglass,API 5L X52,1500,35.5,16.9,7.72,60.88,2,Critical,4.96,3.86,1.2849740932642488,2314
1200,19.16,Fiberglass,API 5L X65,900,74.7,18.91,6.59,34.39,2,Critical,12.57,3.295,3.8148710166919577,2345
50,4.86,Stainless Steel,ASTM A106 Grade B,600,3.8,3.33,6.67,137.24,24,Critical,-1.8099999999999996,0.27791666666666665,-6.512743628185906,2530
1200,36.87,PVC,API 5L X52,900,-4.7,1.58,9.91,26.88,20,Critical,26.959999999999997,0.4955,54.409687184661955,4785
150,6.53,PVC,API 5L X42,2500,65.9,8.49,4.53,69.37,8,Moderate,2.0,0.56625,3.532008830022075,4255
800,20.03,Fiberglass,API 5L X65,150,127.3,12.76,5.29,26.41,16,Critical,14.740000000000002,0.330625,44.58223062381853,3978
400,8.22,Carbon Steel,API 5L X52,2500,31.5,13.61,8.46,102.92,12,Critical,-0.2400000000000002,0.7050000000000001,-0.3404255319148939,3688
1200,27.43,HDPE,API 5L X42,600,12.7,14.29,1.36,4.96,23,Normal,26.07,0.0591304347826087,440.88970588235287,4844
1200,19.82,Stainless Steel,API 5L X42,600,85.7,19.05,0.72,3.63,14,Normal,19.1,0.05142857142857143,371.3888888888889,2344
600,18.74,Carbon Steel,ASTM A333 Grade 6,1500,62.7,2.68,6.42,34.26,9,Critical,12.319999999999999,0.7133333333333334,17.271028037383175,3450
1000,15.83,Carbon Steel,API 5L X65,300,-3.4,11.42,7.82,49.4,23,Critical,8.01,0.34,23.55882352941176,4387
150,5.44,Stainless Steel,API 5L X52,1500,108.5,18.25,2.04,37.5,18,Moderate,3.4000000000000004,0.11333333333333334,30.0,2445
300,15.59,PVC,ASTM A106 Grade B,2500,74.1,1.08,0.15,0.96,5,Normal,15.44,0.03,514.6666666666666,3971
500,10.26,Fiberglass,ASTM A333 Grade 6,300,18.4,5.02,0.34,3.31,2,Normal,9.92,0.17,58.35294117647059,2612
800,16.83,Stainless Steel,ASTM A333 Grade 6,150,55.2,9.75,6.78,40.29,6,Critical,10.049999999999997,1.1300000000000001,8.89380530973451,2603
1500,35.0,Carbon Steel,API 5L X42,1500,32.3,1.14,1.92,5.49,16,Normal,33.08,0.12,275.6666666666667,2478
100,5.67,Fiberglass,API 5L X52,300,17.4,15.91,8.0,141.09,24,Critical,-2.33,0.3333333333333333,-6.99,3337
500,12.23,Fiberglass,API 5L X52,2500,69.3,17.33,8.69,71.05,1,Critical,3.540000000000001,8.69,0.40736478711162266,4529
150,7.41,Fiberglass,ASTM A106 Grade B,2500,-8.2,18.23,2.15,29.01,16,Moderate,5.26,0.134375,39.14418604651163,2240
1000,25.42,PVC,ASTM A106 Grade B,150,39.1,6.15,6.63,26.08,12,Critical,18.790000000000003,0.5525,34.00904977375566,4315
200,10.46,Stainless Steel,API 5L X65,150,-7.0,19.9,8.3,79.35,10,Critical,2.16,0.8300000000000001,2.602409638554217,2467
600,16.19,Carbon Steel,ASTM A333 Grade 6,600,12.1,15.73,8.8,54.35,25,Critical,7.390000000000001,0.35200000000000004,20.99431818181818,4233
100,5.39,HDPE,ASTM A333 Grade 6,900,44.7,7.35,0.21,3.9,8,Normal,5.18,0.02625,197.33333333333334,4639
1200,34.55,Stainless Steel,API 5L X65,600,105.6,8.83,3.41,9.87,2,Moderate,31.139999999999997,1.705,18.263929618768326,2040
400,12.07,PVC,API 5L X65,300,78.0,9.28,9.52,78.87,2,Critical,2.5500000000000007,4.76,0.5357142857142859,2889
600,13.15,PVC,API 5L X42,900,8.1,0.88,4.64,35.29,16,Moderate,8.510000000000002,0.29,29.344827586206904,3494
300,10.17,Stainless Steel,API 5L X42,300,85.2,7.37,0.9,8.85,23,Normal,9.27,0.0391304347826087,236.89999999999998,2620
600,14.68,HDPE,API 5L X65,300,65.1,16.73,0.85,5.79,25,Normal,13.83,0.034,406.7647058823529,4971
250,9.4,Fiberglass,ASTM A106 Grade B,2500,49.4,7.59,7.76,82.55,14,Critical,1.6400000000000006,0.5542857142857143,2.958762886597939,2409
300,9.45,HDPE,API 5L X42,2500,35.6,12.61,5.43,57.46,3,Critical,4.02,1.8099999999999998,2.2209944751381214,3057
